step_id,step_correct_ratio,step_discussions_count,step_has_submissions_restrictions,step_is_solutions_unlocked,lesson_id,step_max_submissions_count,step_passed_by,step_position,step_solutions_unlocked_attempts,step_variation,step_variations_count,step_viewed_by,step_worth,step_actions.submit_#,step_block.name,step_block.options.code_templates_header_lines_count.r,step_block.options.execution_memory_limit,step_block.options.execution_time_limit,step_block.options.is_multiple_choice,step_block.options.is_run_user_code_allowed,step_block.options.limits.r.memory,step_block.options.limits.r.time,step_block.video.duration,assignment_id,unit_id,unit_position,section_id,section_position,section_title,lesson_abuse_count,lesson_discussions_count,lesson_epic_count,lesson_passed_by,lesson_time_to_complete,lesson_title,lesson_viewed_by,lesson_vote_delta
32815,,21,False,False,11915,3,18716,1,3,1,1,18716,0,0,text,,,,,,,,,18938,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32811,,1,False,False,11915,3,14936,2,3,1,1,14936,0,0,text,,,,,,,,,18939,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32929,0.9894405751516513,3,False,False,11915,3,13073,3,3,1,1,14599,1,1,choice,,,,False,,,,,19032,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32814,,4,False,False,11915,3,14348,4,3,1,1,14348,0,0,text,,,,,,,,,18940,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32812,0.6622661678246927,8,False,False,11915,3,12207,5,3,1,1,13956,1,1,choice,,,,True,,,,,18941,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32816,,22,False,False,11915,3,14082,6,3,1,1,14082,0,0,text,,,,,,,,,18942,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32930,,2164,False,False,11915,3,13567,7,3,1,1,13567,0,0,text,,,,,,,,,19033,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32979,,83,False,False,11915,3,13429,8,3,1,1,13429,0,0,text,,,,,,,,,19087,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
705165,,0,False,False,11915,3,301,9,3,1,1,301,0,0,text,,,,,,,,,586727,2712,1,364,1,Предобработка данных,9,2306,179,301,149,Общая информация о курсе,18716,170
32927,,33,False,False,11477,3,15156,1,3,1,1,15156,0,0,text,,,,,,,,,19030,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
32191,,18,False,False,11477,3,13785,2,3,1,1,13785,0,0,video,,,,,,,,175.0,18604,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
31956,,15,False,False,11477,3,12181,3,3,1,1,12181,0,0,video,,,,,,,,262.0,18402,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
31955,,10,False,False,11477,3,11526,4,3,1,1,11526,0,0,video,,,,,,,,216.0,18403,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
120745,0.783225044300059,12,False,False,11477,3,7725,5,3,1,1,9255,1,1,code,0.0,256.0,5.0,,True,256.0,8.0,,73082,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
32219,0.6518966960778,37,False,False,11477,3,9836,6,3,1,1,11259,1,1,code,5.0,256.0,5.0,,True,256.0,8.0,,18702,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
31977,0.5344506517690876,28,False,False,11477,3,9682,7,3,1,1,10843,1,1,code,11.0,256.0,5.0,,True,256.0,8.0,,18420,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
31957,,7,False,False,11477,3,10701,8,3,1,1,10701,0,0,video,,,,,,,,155.0,18404,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
31959,,15,False,False,11477,3,10422,9,3,1,1,10422,0,0,video,,,,,,,,257.0,18405,2519,2,364,1,Предобработка данных,36,424,469,7725,4523,Переменные,15156,433
